"date","hotel","region","flavour","freshness","temperature","service","country"
"2013-07-20 20:25:09","Accor Hotels","Marche","1","4","4","4","Italia"
"2013-12-30 21:22:33","Accor Hotels","Toscana","5","5","1","2","Olanda"
"2014-12-19 21:14:32","Accor Hotels","Marche","5","2","3","5","UK"
"2013-07-16 20:50:17","Accor Hotels","Toscana","2","4","2","4","Spagna"
"2013-07-12 21:01:31","Accor Hotels","Marche","1","4","3","1","Grecia"
"2013-09-10 21:20:25","Accor Hotels","Marche","3","4","3","4","Francia"
"2013-08-16 20:46:24","Accor Hotels","Marche","1","2","1","1","Svezia"
"2015-03-09 20:53:49","Accor Hotels","Toscana","5","1","4","5","Finlandia"
"2013-05-12 20:44:57","Accor Hotels","Toscana","3","3","5","5","Finlandia"
"2013-12-18 21:02:39","Excelsior","Toscana","1","2","3","4","Italia"
"2013-10-12 21:10:00","Excelsior","Toscana","1","5","5","1","Germania"
"2014-08-04 21:07:17","Excelsior","Toscana","3","4","1","4","Francia"
"2013-04-06 20:28:19","Excelsior","Toscana","1","4","4","3","Olanda"
"2014-01-23 21:11:28","Excelsior","Toscana","5","5","5","4","UK"
"2013-08-28 21:14:21","Excelsior","Toscana","5","4","4","3","Italia"
"2013-09-30 21:22:52","Excelsior","Toscana","2","1","5","4","Italia"
"2013-10-13 20:45:43","Excelsior","Toscana","1","3","1","1","UK"
"2014-03-02 20:32:04","Excelsior","Toscana","5","2","5","2","Spagna"
"2014-12-12 21:04:47","Excelsior","Toscana","5","2","3","3","Olanda"
"2013-04-28 21:13:56","Excelsior","Toscana","4","5","5","4","UK"
"2014-03-27 21:17:36","Excelsior","Toscana","4","5","4","3","Spagna"
"2015-02-09 20:40:47","Excelsior","Toscana","3","1","5","2","Francia"
"2013-05-23 20:35:13","Excelsior","Toscana","3","2","4","3","Olanda"
"2013-10-30 21:20:05","Excelsior","Toscana","3","1","4","4","Grecia"
"2014-12-02 20:40:32","Excelsior","Toscana","2","2","3","2","Francia"
"2014-03-04 20:44:00","Excelsior","Toscana","2","3","3","4","Svezia"
"2014-02-18 21:09:29","Excelsior","Toscana","1","2","5","1","UK"
"2014-06-28 21:18:18","Excelsior","Toscana","3","5","5","5","Spagna"
"2014-04-18 21:19:07","Excelsior","Toscana","5","3","3","1","USA"
"2013-09-13 20:25:09","Excelsior","Toscana","3","4","1","2","UK"
"2015-03-13 21:08:07","Excelsior","Toscana","3","1","2","4","Svezia"
"2013-06-11 20:57:21","Excelsior","Toscana","2","3","4","5","USA"
"2013-12-29 21:07:25","I Basiliani","Toscana","2","5","4","4","Olanda"
"2014-05-12 20:34:22","I Basiliani","Toscana","3","5","3","1","Finlandia"
"2015-03-04 21:16:25","I Basiliani","Toscana","5","5","4","3","Svezia"
"2013-11-14 20:24:53","I Basiliani","Toscana","5","3","3","1","Grecia"
"2014-06-03 21:20:38","I Basiliani","Toscana","2","5","5","3","Olanda"
"2014-04-12 20:26:28","I Basiliani","Toscana","4","5","1","1","Grecia"
"2013-05-28 21:17:25","I Basiliani","Toscana","1","5","1","5","UK"
"2014-12-22 20:37:11","I Basiliani","Toscana","3","2","2","4","Olanda"
"2014-01-16 20:30:18","I Basiliani","Toscana","3","3","4","2","Germania"
"2014-05-02 21:12:02","I Basiliani","Toscana","3","5","4","5","Germania"
"2014-07-11 21:10:43","I Basiliani","Toscana","1","3","2","3","USA"
"2014-04-23 21:09:56","I Basiliani","Toscana","3","5","5","1","UK"
"2014-06-27 20:28:01","I Basiliani","Toscana","5","5","1","2","Olanda"
"2014-06-12 20:24:23","I Basiliani","Toscana","5","1","2","3","Francia"
"2013-09-25 21:17:34","I Basiliani","Toscana","1","5","4","4","Grecia"
"2014-08-03 20:38:55","I Basiliani","Toscana","3","4","4","5","Italia"
"2014-03-12 21:01:17","I Basiliani","Toscana","1","2","3","4","Svezia"
"2014-04-24 20:49:41","I Basiliani","Toscana","4","3","1","2","Germania"
"2014-02-06 20:52:40","I Basiliani","Toscana","3","3","1","3","Finlandia"
"2015-03-24 21:01:59","I Basiliani","Toscana","4","5","3","2","Francia"
"2014-10-14 21:18:16","I Basiliani","Toscana","5","1","1","5","Finlandia"
"2013-03-28 20:59:46","I Basiliani","Toscana","1","5","1","1","Finlandia"
"2014-11-10 20:25:41","I Basiliani","Toscana","4","1","4","5","Spagna"
"2013-12-23 20:54:42","La locanda del barone","Abruzzo","3","4","1","1","Finlandia"
"2015-01-23 20:48:44","La locanda del barone","Abruzzo","3","5","2","1","Grecia"
"2013-11-16 20:33:25","La locanda del barone","Abruzzo","1","2","1","2","Olanda"
"2014-11-18 20:31:29","La locanda del barone","Abruzzo","4","4","4","5","USA"
"2013-11-10 20:34:04","La locanda del barone","Abruzzo","1","2","1","4","Spagna"
"2014-08-04 20:41:38","La locanda del barone","Abruzzo","5","4","3","5","Italia"
"2014-01-17 20:27:25","La locanda del barone","Abruzzo","3","5","1","2","Spagna"
"2014-09-17 20:54:57","La locanda del barone","Abruzzo","1","4","2","1","Italia"
"2014-11-18 21:10:19","La locanda del barone","Abruzzo","1","5","1","2","USA"
"2013-05-11 21:04:09","La locanda del barone","Abruzzo","3","4","4","3","Olanda"
"2013-12-29 21:05:12","La locanda del barone","Abruzzo","3","2","1","4","UK"
"2015-01-12 20:47:05","La locanda del barone","Abruzzo","1","4","5","2","Italia"
"2015-03-24 20:46:12","La locanda del barone","Abruzzo","4","2","2","3","Francia"
"2014-09-19 21:15:38","La locanda del barone","Abruzzo","1","2","2","1","Francia"
"2014-09-03 20:30:15","La locanda del barone","Abruzzo","3","1","2","4","Grecia"
"2015-02-03 20:52:54","La locanda del barone","Abruzzo","1","1","4","5","Francia"
"2013-05-13 20:52:31","La locanda del barone","Abruzzo","2","4","2","2","Spagna"
"2013-05-08 21:16:36","La locanda del barone","Abruzzo","1","5","3","5","Olanda"
"2014-12-18 20:38:38","La locanda del barone","Abruzzo","4","3","3","4","UK"
"2014-10-22 20:44:39","La locanda del barone","Abruzzo","5","1","1","2","UK"
"2015-02-01 21:11:45","La locanda del barone","Abruzzo","2","4","2","1","Svezia"
"2014-09-07 20:30:49","La locanda del barone","Abruzzo","4","4","4","1","Germania"
"2014-01-29 20:38:14","La locanda del barone","Abruzzo","5","2","5","4","Svezia"
"2015-02-10 20:53:37","La locanda del barone","Abruzzo","2","2","1","5","Francia"
"2013-11-07 20:46:14","La locanda del barone","Abruzzo","2","5","1","4","UK"
"2013-09-21 20:37:42","Magnola","Abruzzo","2","5","3","3","Finlandia"
"2014-09-08 20:34:06","Magnola","Abruzzo","5","2","1","1","Finlandia"
"2013-05-26 20:50:22","Magnola","Abruzzo","1","4","5","3","Olanda"
"2015-03-19 20:26:04","Magnola","Abruzzo","3","1","5","4","Finlandia"
"2014-04-23 20:55:28","Magnola","Abruzzo","1","5","4","2","Spagna"
"2014-03-03 20:45:41","Magnola","Abruzzo","5","5","1","3","Spagna"
"2014-10-30 21:07:36","Magnola","Abruzzo","3","5","5","1","Olanda"
"2014-10-10 20:43:22","Magnola","Abruzzo","3","3","4","2","Italia"
"2013-08-17 21:18:09","Magnola","Abruzzo","4","4","1","3","UK"
"2014-11-09 20:30:12","Magnola","Abruzzo","3","4","5","1","Svezia"
"2014-10-19 20:45:53","Magnola","Abruzzo","2","5","3","1","Svezia"
"2015-01-01 20:24:31","Magnola","Abruzzo","1","5","3","2","Italia"
"2014-07-31 20:51:01","Palatino","Lazio","2","3","3","3","Finlandia"
"2014-09-22 21:05:00","Palatino","Lazio","5","5","3","5","Germania"
"2013-09-08 20:34:46","Palatino","Lazio","4","5","1","5","Finlandia"
"2014-03-13 20:28:00","Palatino","Lazio","5","5","3","4","Grecia"
"2013-06-04 21:08:43","Palatino","Lazio","2","2","1","3","Francia"
"2014-02-11 21:07:36","Palatino","Lazio","2","2","3","5","Italia"
"2013-12-22 20:24:30","Palatino","Lazio","2","4","2","2","Italia"
"2013-11-10 20:28:11","Palatino","Lazio","5","5","5","5","Finlandia"
"2014-09-08 20:42:45","Palatino","Lazio","4","5","2","3","Olanda"
"2014-10-07 20:49:29","Palatino","Lazio","4","4","4","2","Grecia"
"2014-01-29 20:44:40","Palatino","Lazio","2","3","4","4","Olanda"
"2013-07-03 21:05:08","Palatino","Lazio","1","5","4","2","Olanda"
"2014-11-09 20:39:05","Palatino","Lazio","2","1","5","5","Svezia"
"2014-08-03 21:11:45","Palatino","Lazio","2","3","5","5","Francia"
"2013-12-17 20:37:03","Palatino","Lazio","4","4","3","3","Finlandia"
"2014-10-15 21:12:51","Palatino","Lazio","2","2","5","1","Germania"
"2014-02-22 20:29:56","Palatino","Lazio","5","3","1","4","Olanda"
"2014-02-24 20:54:14","Palatino","Lazio","5","2","4","1","Grecia"
"2015-03-09 20:52:32","Palatino","Lazio","1","2","4","5","USA"
"2015-02-22 21:15:57","Palazzo viceconte","Marche","3","4","1","3","UK"
"2013-11-24 20:33:56","Palazzo viceconte","Marche","3","3","4","4","Svezia"
"2014-06-09 21:04:23","Palazzo viceconte","Marche","5","2","3","4","Olanda"
"2014-06-24 20:28:13","Palazzo viceconte","Marche","4","1","1","2","UK"
"2015-02-11 21:13:29","Palazzo viceconte","Marche","2","3","3","5","Finlandia"
"2013-06-19 21:14:21","Palazzo viceconte","Marche","5","5","1","4","Svezia"
"2013-06-22 20:50:02","Palazzo viceconte","Marche","1","5","2","5","Italia"
"2013-11-19 20:34:30","Palazzo viceconte","Marche","4","3","5","1","Grecia"
"2013-05-30 21:03:26","Palazzo viceconte","Marche","1","1","5","3","Olanda"
"2014-07-14 20:54:23","Palazzo viceconte","Marche","2","2","3","4","Olanda"
"2013-10-17 20:26:26","Palazzo viceconte","Marche","2","5","2","4","Svezia"
"2014-07-04 21:12:35","Palazzo viceconte","Marche","2","5","4","2","Italia"
"2014-01-29 21:15:38","Palazzo viceconte","Marche","4","3","4","4","Spagna"
"2013-05-28 21:16:03","Palazzo viceconte","Marche","4","4","3","4","Finlandia"
"2014-08-17 21:04:40","Palazzo viceconte","Marche","5","1","3","2","Svezia"
"2013-11-23 20:34:14","Palazzo viceconte","Marche","4","5","1","5","Francia"
"2014-05-19 21:19:57","Palazzo viceconte","Marche","4","4","2","2","Spagna"
"2013-06-11 21:14:52","Palazzo viceconte","Marche","4","2","2","2","Spagna"
"2014-01-05 20:42:13","Palazzo viceconte","Marche","2","2","1","4","Olanda"
"2013-04-03 20:33:55","Palazzo viceconte","Marche","5","1","2","1","Spagna"
"2013-11-15 21:10:48","Palazzo viceconte","Marche","4","2","3","4","Italia"
"2015-01-11 21:09:28","Park Hotel","Abruzzo","3","5","1","5","USA"
"2014-03-15 20:31:38","Park Hotel","Abruzzo","2","1","2","1","Francia"
"2013-08-21 20:52:24","Park Hotel","Abruzzo","3","4","4","2","Italia"
"2014-07-26 20:23:52","Park Hotel","Abruzzo","4","1","3","1","Spagna"
"2014-11-18 20:55:18","Park Hotel","Abruzzo","5","3","1","3","Finlandia"
"2013-05-15 20:38:01","Park Hotel","Abruzzo","1","1","1","5","Svezia"
"2014-05-30 20:47:19","Park Hotel","Abruzzo","3","2","3","2","Svezia"
"2014-12-04 21:19:19","Park Hotel","Abruzzo","4","1","1","4","Spagna"
"2014-10-24 20:48:36","Park Hotel","Abruzzo","5","1","5","4","Grecia"
"2013-05-29 20:36:10","Park Hotel","Abruzzo","1","3","5","3","Olanda"
"2014-05-01 21:21:11","Park Hotel","Abruzzo","2","4","4","4","Germania"
"2013-12-06 20:29:21","Park Hotel","Abruzzo","3","3","1","2","USA"
"2014-06-30 20:35:48","Park Hotel","Abruzzo","1","2","3","4","USA"
"2014-10-15 20:24:59","Park Hotel","Abruzzo","2","5","3","4","Finlandia"
"2014-09-28 21:00:18","Park Hotel","Abruzzo","3","4","4","2","USA"
"2014-07-01 21:16:35","Park Hotel","Abruzzo","1","3","2","4","Finlandia"
"2014-07-21 21:03:04","Park Hotel","Abruzzo","4","3","5","5","Grecia"
"2014-08-27 20:55:36","Superior","Lazio","4","3","1","5","UK"
"2014-06-18 20:57:34","Superior","Lazio","1","1","3","2","Francia"
"2014-05-10 20:27:08","Superior","Lazio","2","2","5","3","Finlandia"
"2013-10-30 21:19:19","Superior","Lazio","2","5","5","1","Francia"
"2013-08-05 20:38:52","Superior","Lazio","5","2","1","5","Olanda"
"2013-06-17 21:19:55","Superior","Lazio","5","3","2","4","Olanda"
"2015-02-21 21:05:29","Superior","Lazio","1","1","3","5","Spagna"
"2013-12-27 20:48:52","Superior","Lazio","3","2","4","5","Svezia"
"2014-02-11 20:44:35","Superior","Lazio","4","4","3","1","Finlandia"
"2013-12-17 21:13:45","Superior","Lazio","1","4","1","3","Germania"
"2013-11-15 20:40:50","Superior","Lazio","4","5","1","3","Olanda"
"2014-10-16 20:29:53","Superior","Lazio","1","4","3","5","Svezia"
"2015-01-13 20:54:32","Superior","Lazio","2","5","2","2","Grecia"
"2014-08-20 21:14:53","Superior","Lazio","3","3","4","5","Germania"
"2013-12-30 20:24:32","Superior","Lazio","4","2","1","1","Finlandia"
"2013-07-05 20:54:07","Superior","Lazio","1","5","5","4","Francia"
"2014-09-02 20:58:07","Superior","Lazio","3","1","3","2","Finlandia"
